iter	Accuracy	MultiClass
0	0.4017873101	2.172988261
1	0.4638069705	2.06855489
2	0.5040214477	1.975407699
3	0.5102770331	1.902676757
4	0.5329758713	1.832763215
5	0.5544235925	1.766078281
6	0.5617515639	1.715540247
7	0.5678284182	1.675546042
8	0.5790884718	1.628626655
9	0.5917783735	1.585783389
10	0.600178731	1.548181761
11	0.6087578195	1.512907216
12	0.618051832	1.480292571
13	0.6273458445	1.445025451
14	0.6353887399	1.415221602
15	0.6445040214	1.382796238
16	0.6521894549	1.355517387
17	0.655227882	1.331016537
18	0.6670241287	1.304847798
19	0.6707774799	1.285808311
20	0.6764968722	1.265519567
21	0.6809651475	1.247807592
22	0.6870420018	1.226512333
23	0.69025916	1.207524785
24	0.7008042895	1.189366359
25	0.7018766756	1.175467033
26	0.7034852547	1.159220405
27	0.708310992	1.144320581
28	0.7142091153	1.12914035
29	0.7154602324	1.116052986
30	0.7188561215	1.102397925
31	0.7258266309	1.085924943
32	0.7254691689	1.072549853
33	0.727792672	1.063833757
34	0.7326184093	1.050021418
35	0.7356568365	1.040187287
36	0.7410187668	1.02987533
37	0.7408400357	1.016658334
38	0.7419124218	1.005755564
39	0.7435210009	0.9987272809
40	0.7504915103	0.9882667161
41	0.7529937444	0.9770389617
42	0.7540661305	0.9697309043
43	0.7531724754	0.9623369656
44	0.7563896336	0.9538448515
45	0.7579982127	0.9453782736
46	0.7615728329	0.9367115025
47	0.763717605	0.9302581616
48	0.7680071492	0.9197548036
49	0.7685433423	0.9133148209
50	0.7715817694	0.9058978586
51	0.7762287757	0.895900478
52	0.7794459339	0.8882788643
53	0.7773011618	0.881049286
54	0.7796246649	0.8745168306
55	0.782663092	0.8687078595
56	0.7865951743	0.8591730868
57	0.7874888293	0.8526832755
58	0.7887399464	0.8472489087
59	0.7894548704	0.8398485725
60	0.7912421805	0.8347391985
61	0.7935656836	0.8294999876
62	0.7946380697	0.8246234732
63	0.7958891868	0.8196219373
64	0.7971403038	0.8154726351
65	0.7973190349	0.8102427032
66	0.800714924	0.8052262655
67	0.800714924	0.8004859645
68	0.8033958892	0.7932124999
69	0.8058981233	0.7882123216
70	0.8064343164	0.784475292
71	0.8080428954	0.7795286513
72	0.8076854334	0.7751321998
73	0.8091152815	0.7683807659
74	0.8100089366	0.7650708839
75	0.8123324397	0.7612384712
76	0.8151921358	0.7531656514
77	0.8160857909	0.748700334
78	0.817336908	0.7450275453
79	0.818766756	0.7393336795
80	0.818945487	0.736351713
81	0.818766756	0.7326984875
82	0.8225201072	0.7262234906
83	0.8246648794	0.7198320139
84	0.8255585344	0.7152751624
85	0.8260947274	0.7102479802
86	0.8268096515	0.7065889438
87	0.8278820375	0.7037905563
88	0.8298480786	0.6995671963
89	0.8325290438	0.6957039444
90	0.836282395	0.6878536072
91	0.836103664	0.68425636
92	0.8384271671	0.6789281241
93	0.8387846291	0.676177712
94	0.8400357462	0.6726464982
95	0.8427167113	0.6684477199
96	0.8434316354	0.6655588569
97	0.8450402145	0.6619015679
98	0.8452189455	0.6590665063
99	0.8448614835	0.6551773916
100	0.8455764075	0.6520340423
101	0.8466487936	0.6481801996
102	0.8475424486	0.6440416911
103	0.8489722967	0.6412766335
104	0.8487935657	0.6363304675
105	0.8491510277	0.6331509812
106	0.8500446828	0.6308520255
107	0.8504021448	0.6280055084
108	0.8509383378	0.6251147522
109	0.8518319929	0.6223470203
110	0.8527256479	0.6191954585
111	0.8536193029	0.6136232468
112	0.855227882	0.6103149194
113	0.8561215371	0.6073667045
114	0.8564789991	0.6048739848
115	0.8571939231	0.6011038786
116	0.8580875782	0.5979658348
117	0.8609472744	0.5938933315
118	0.8625558534	0.5899995551
119	0.8630920465	0.5867984675
120	0.8629133155	0.5848002334
121	0.8648793566	0.5812251374
122	0.8666666667	0.5778614743
123	0.8663092046	0.5748130518
124	0.8677390527	0.5714378014
125	0.8698838248	0.5687257077
126	0.8714924039	0.5657270254
127	0.872207328	0.5613326626
128	0.873458445	0.5582723058
129	0.8750670241	0.5551021081
130	0.8743521001	0.5526761406
131	0.8773905273	0.550240253
132	0.8775692583	0.5480295333
133	0.8775692583	0.5456954323
134	0.8793565684	0.5432785955
135	0.8798927614	0.5406691573
136	0.8815013405	0.5377944815
137	0.8822162645	0.5353145195
138	0.8822162645	0.533471506
139	0.8832886506	0.5300401016
140	0.8840035746	0.5275652134
141	0.8852546917	0.5256142267
142	0.8877569258	0.5200784902
143	0.8881143878	0.5175666202
144	0.8893655049	0.5152931247
145	0.8897229669	0.5126017377
146	0.890795353	0.5097188055
147	0.8918677391	0.5070285712
148	0.8924039321	0.5050204065
149	0.8934763181	0.5027226214
150	0.8934763181	0.4999289766
151	0.8931188561	0.4984467657
152	0.8943699732	0.4972100418
153	0.8957998213	0.4946815
154	0.8963360143	0.4925543472
155	0.8979445934	0.4900597255
156	0.8979445934	0.487540476
157	0.8983020554	0.4859744036
158	0.8993744415	0.4844407888
159	0.8997319035	0.482745089
160	0.8999106345	0.4814391007
161	0.9018766756	0.4802297158
162	0.9018766756	0.4782614901
163	0.9024128686	0.47641903
164	0.9022341376	0.4745953813
165	0.9045576408	0.4724932674
166	0.9052725648	0.4706821557
167	0.9054512958	0.469702773
168	0.9068811439	0.4674609887
169	0.9081322609	0.4649635875
170	0.909025916	0.4639396732
171	0.909204647	0.4619404159
172	0.9104557641	0.4602790823
173	0.9102770331	0.4592534976
174	0.9115281501	0.4578968189
175	0.9106344951	0.4561071622
176	0.9124218052	0.4532088714
177	0.9126005362	0.4518050957
178	0.9129579982	0.4499645577
179	0.9126005362	0.4481162313
180	0.9133154602	0.4458668045
181	0.9136729223	0.4435393608
182	0.9143878463	0.4412967823
183	0.9147453083	0.4405584918
184	0.9154602324	0.4388254337
185	0.9158176944	0.4371234519
186	0.9159964254	0.4348369968
187	0.9174262735	0.4329859614
188	0.9170688114	0.4311670943
189	0.9174262735	0.4296972813
190	0.9186773905	0.4266419341
191	0.9192135836	0.4250039679
192	0.9197497766	0.4237866094
193	0.9197497766	0.4226205484
194	0.9197497766	0.4209241225
195	0.9208221626	0.4191841407
196	0.9211796247	0.4167580692
197	0.9222520107	0.4149342658
198	0.9227882038	0.4128739301
199	0.9229669348	0.4108566489
200	0.9233243968	0.4089037586
201	0.9238605898	0.4075439459
202	0.9242180518	0.4069746755
203	0.9247542449	0.4053896673
204	0.9252904379	0.4043650136
205	0.9251117069	0.4033820778
206	0.9251117069	0.4021857834
207	0.9263628239	0.4003474009
208	0.927256479	0.3989639152
209	0.927792672	0.3976160037
210	0.9290437891	0.3964308619
211	0.9292225201	0.3943894045
212	0.9294012511	0.3935238863
213	0.9297587131	0.3925121223
214	0.9292225201	0.3912805809
215	0.9295799821	0.3906352596
216	0.9301161752	0.3895514323
217	0.9304736372	0.3875022064
218	0.9310098302	0.3856265948
219	0.9313672922	0.384604239
220	0.9324396783	0.3830298972
221	0.9324396783	0.3813036805
222	0.9329758713	0.3795782329
223	0.9333333333	0.3790828603
224	0.9333333333	0.377392178
225	0.9336907954	0.3764233289
226	0.9342269884	0.3746048053
227	0.9351206434	0.3735846066
228	0.9354781055	0.3717513018
229	0.9356568365	0.3709686335
230	0.9358355675	0.3696551906
231	0.9370866845	0.3679608542
232	0.9370866845	0.3663802538
233	0.9374441466	0.3642693738
234	0.9381590706	0.3627368365
235	0.9388739946	0.3611234768
236	0.9388739946	0.3599685438
237	0.9394101877	0.3589826064
238	0.9394101877	0.3581245319
239	0.9395889187	0.3574016873
240	0.9397676497	0.3567012037
241	0.9399463807	0.3560514942
242	0.9395889187	0.355292822
243	0.9406613047	0.3536463084
244	0.9411974978	0.3526869124
